curve,f,R1_pred,R2_pred,height,sp1,sp2,arrays,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
ex:490,49 -66 -41 3 68 -1 4,0.006501398523095622,4.729590486497646e-05,25000,8,18,3134144,690765431,4543619,106669,2246618,7476114,3178962,25969,27451748,132319722,9499538,180066140,283697992
ex:490,49 -66 -41 3 68 -1 4,0.006501398523095622,1.20556718307387e-05,25000,8,22,3134144,690765431,4543619,75002,2246618,7838110,2183612,6536,29290806,128407178,3102864,172291070,267616008
ex:490,49 -66 -41 3 68 -1 4,0.006501398523095622,4.825392530364654e-06,25000,8,26,3134144,690765431,4543619,56165,2246618,8102372,1626124,2517,29900688,128362160,1425406,172588724,266637336
ex:490,49 -66 -41 3 68 -1 4,0.001238062576701439,0.00024817842222974167,25000,11,14,3134144,690765431,929220,249139,789740,1654408,7749160,137215,33958618,110969588,34803120,189635732,306236257
ex:490,49 -66 -41 3 68 -1 4,0.001238062576701439,4.729590486497646e-05,25000,11,18,3134144,690765431,929220,106669,789740,2341500,3178962,25969,36283504,79455732,9222070,135619842,215088777
ex:490,49 -66 -41 3 68 -1 4,0.001238062576701439,1.20556718307387e-05,25000,11,22,3134144,690765431,929220,75002,789740,2703496,2183612,6536,38615378,75724166,3148558,130330432,200307379
ex:490,49 -66 -41 3 68 -1 4,0.001238062576701439,4.825392530364654e-06,25000,11,26,3134144,690765431,929220,56165,789740,2967758,1626124,2517,41211184,75383970,1447796,130625064,201883573
ex:490,49 -66 -41 3 68 -1 4,0.00024817842222974167,0.00024817842222974167,25000,14,14,3134144,690765431,249139,249139,239058,0,7749160,137215,45308584,70550084,36474310,162759090,252022640
ex:490,49 -66 -41 3 68 -1 4,0.00024817842222974167,4.729590486497646e-05,25000,14,18,3134144,690765431,249139,106669,239058,687092,3178962,25969,46163606,44840472,9349708,111242264,171864139
ex:490,49 -66 -41 3 68 -1 4,0.00024817842222974167,1.20556718307387e-05,25000,14,22,3134144,690765431,249139,75002,239058,1049088,2183612,6536,51032098,39425778,3051664,105524464,162544112
ex:490,49 -66 -41 3 68 -1 4,0.00024817842222974167,4.825392530364654e-06,25000,14,26,3134144,690765431,249139,56165,239058,1313350,1626124,2517,49551566,38957358,1406116,103151840,157206857
ex:490,49 -66 -41 3 68 -1 4,6.980883062379112e-05,4.729590486497646e-05,25000,17,18,3134144,690765431,122784,106669,120370,120370,3178962,25969,57288326,33291134,9676080,111799220,169851252
ex:490,49 -66 -41 3 68 -1 4,6.980883062379112e-05,1.20556718307387e-05,25000,17,22,3134144,690765431,122784,75002,120370,482366,2183612,6536,58862636,28193570,3135904,101703624,155786008
ex:490,49 -66 -41 3 68 -1 4,6.980883062379112e-05,4.825392530364654e-06,25000,17,26,3134144,690765431,122784,56165,120370,746628,1626124,2517,57321716,27406676,1359598,97842764,151058769
ex:490,49 -66 -41 3 68 -1 4,0.006501398523095622,0.00024817842222974167,75000,8,14,26478656,6216888577,40496932,1769203,20070745,59264293,56293052,1242019,178249576,1482681240,292861122,1995200914,3244093783
ex:490,49 -66 -41 3 68 -1 4,0.006501398523095622,4.729590486497646e-05,75000,8,18,26478656,6216888577,40496932,514497,20070745,63684517,15868189,235371,188047018,1188647020,71005802,1488610768,2358580807
ex:490,49 -66 -41 3 68 -1 4,0.006501398523095622,1.20556718307387e-05,75000,8,22,26478656,6216888577,40496932,275867,20070745,65273692,8221819,59745,198437328,1157336862,24774274,1423837556,2221545080
ex:490,49 -66 -41 3 68 -1 4,0.006501398523095622,4.825392530364654e-06,75000,8,26,26478656,6216888577,40496932,187781,20070745,66213132,5521153,23626,193354354,1126503032,11156224,1373734010,2195693669
ex:490,49 -66 -41 3 68 -1 4,0.001238062576701439,0.00024817842222974167,75000,11,14,26478656,6216888577,7900265,1769203,6753321,13714973,56293052,1242019,236361406,959079560,285895176,1523077056,2508189840
ex:490,49 -66 -41 3 68 -1 4,0.001238062576701439,4.729590486497646e-05,75000,11,18,26478656,6216888577,7900265,514497,6753321,18135197,15868189,235371,250222580,659400400,68238600,1017257964,1641608918
ex:490,49 -66 -41 3 68 -1 4,0.001238062576701439,1.20556718307387e-05,75000,11,22,26478656,6216888577,7900265,275867,6753321,19724372,8221819,59745,262381052,619709472,23662342,948233654,1497653136
ex:490,49 -66 -41 3 68 -1 4,0.001238062576701439,4.825392530364654e-06,75000,11,26,26478656,6216888577,7900265,187781,6753321,20663812,5521153,23626,266657750,612684018,11751676,934288616,1474286463
ex:490,49 -66 -41 3 68 -1 4,0.00024817842222974167,0.00024817842222974167,75000,14,14,26478656,6216888577,1769203,1769203,1708696,0,56293052,1242019,317074366,581293890,291518216,1228372374,1990775318
ex:490,49 -66 -41 3 68 -1 4,0.00024817842222974167,4.729590486497646e-05,75000,14,18,26478656,6216888577,1769203,514497,1708696,4420224,15868189,235371,324035428,324530656,67293240,755205198,1218091291
ex:490,49 -66 -41 3 68 -1 4,0.00024817842222974167,1.20556718307387e-05,75000,14,22,26478656,6216888577,1769203,275867,1708696,6009399,8221819,59745,331002018,272270868,22459906,666014826,1073413926
ex:490,49 -66 -41 3 68 -1 4,0.00024817842222974167,4.825392530364654e-06,75000,14,26,26478656,6216888577,1769203,187781,1708696,6948839,5521153,23626,346717420,270054324,10812044,670457306,1065483829
ex:490,49 -66 -41 3 68 -1 4,6.980883062379112e-05,4.729590486497646e-05,75000,17,18,26478656,6216888577,655223,514497,647415,647415,15868189,235371,403079838,231372844,68957050,743736724,1169728669
ex:490,49 -66 -41 3 68 -1 4,6.980883062379112e-05,1.20556718307387e-05,75000,17,22,26478656,6216888577,655223,275867,647415,2236590,8221819,59745,407519910,179103504,23033068,649705296,1030115392
ex:490,49 -66 -41 3 68 -1 4,6.980883062379112e-05,4.825392530364654e-06,75000,17,26,26478656,6216888577,655223,187781,647415,3176030,5521153,23626,416443294,172776176,10619918,642178054,1007839713
ex:490,49 -66 -41 3 68 -1 4,0.006501398523095622,0.00024817842222974167,150000,8,14,104193856,24867626369,161623706,6607250,80155629,235252201,211839997,4978013,659202496,6029644796,1109425498,7911792494,12881345699
ex:490,49 -66 -41 3 68 -1 4,0.006501398523095622,4.729590486497646e-05,150000,8,18,104193856,24867626369,161623706,1611437,80155629,251155219,50628931,944972,688235080,4724644414,254245376,5780600766,9346802376
ex:490,49 -66 -41 3 68 -1 4,0.006501398523095622,1.20556718307387e-05,150000,8,22,104193856,24867626369,161623706,699115,80155629,255813426,21221245,239883,685813080,4524804428,83327102,5410621062,8711559449
ex:490,49 -66 -41 3 68 -1 4,0.006501398523095622,4.825392530364654e-06,150000,8,26,104193856,24867626369,161623706,431162,80155629,258099991,12860911,95125,704117348,4505320022,40155746,5372597616,8671113244
ex:490,49 -66 -41 3 68 -1 4,0.001238062576701439,0.00024817842222974167,150000,11,14,104193856,24867626369,31132494,6607250,26650146,53679590,211839997,4978013,903808666,3956900648,1103594476,6071274208,9862450702
ex:490,49 -66 -41 3 68 -1 4,0.001238062576701439,4.729590486497646e-05,150000,11,18,104193856,24867626369,31132494,1611437,26650146,69582608,50628931,944972,915507084,2611335606,245893150,3883150722,6334682850
ex:490,49 -66 -41 3 68 -1 4,0.001238062576701439,1.20556718307387e-05,150000,11,22,104193856,24867626369,31132494,699115,26650146,74240815,21221245,239883,954807454,2425491350,81609966,3576669254,5739368371
ex:490,49 -66 -41 3 68 -1 4,0.001238062576701439,4.825392530364654e-06,150000,11,26,104193856,24867626369,31132494,431162,26650146,76527380,12860911,95125,959617210,2370281726,38653706,3486824120,5635044578
ex:490,49 -66 -41 3 68 -1 4,0.00024817842222974167,0.00024817842222974167,150000,14,14,104193856,24867626369,6607250,6607250,6390420,0,211839997,4978013,1207063692,2356497028,1106673208,4781558712,7718031880
ex:490,49 -66 -41 3 68 -1 4,0.00024817842222974167,4.729590486497646e-05,150000,14,18,104193856,24867626369,6607250,1611437,6390420,15903018,50628931,944972,1242947544,1264912820,249963416,2875927828,4547091032
ex:490,49 -66 -41 3 68 -1 4,0.00024817842222974167,1.20556718307387e-05,150000,14,22,104193856,24867626369,6607250,699115,6390420,20561225,21221245,239883,1301090554,1049781738,81762616,2552153114,3950678850
ex:490,49 -66 -41 3 68 -1 4,0.00024817842222974167,4.825392530364654e-06,150000,14,26,104193856,24867626369,6607250,431162,6390420,22847790,12860911,95125,1295215006,999727076,38108270,2453863270,3860088292
ex:490,49 -66 -41 3 68 -1 4,6.980883062379112e-05,4.729590486497646e-05,150000,17,18,104193856,24867626369,2171090,1611437,2148526,2148526,50628931,944972,1556526154,889331530,256539304,2814968270,4339443491
ex:490,49 -66 -41 3 68 -1 4,6.980883062379112e-05,1.20556718307387e-05,150000,17,22,104193856,24867626369,2171090,699115,2148526,6806733,21221245,239883,1697255442,695732170,85616182,2601530572,3850573747
ex:490,49 -66 -41 3 68 -1 4,6.980883062379112e-05,4.825392530364654e-06,150000,17,26,104193856,24867626369,2171090,431162,2148526,9093298,12860911,95125,1579652522,613279094,37823968,2348984610,3673230275
ex:568,81 12 8 -48 -137 36 64,0.008087745740107885,0.00045216562530412335,25000,8,14,3795952,879578466,7168338,479129,3018774,10302799,15105257,320050,34643316,268298618,83929076,398969092,633929900
ex:568,81 12 8 -48 -137 36 64,0.008087745740107885,7.840922790805278e-05,25000,8,18,3795952,879578466,7168338,149139,3018774,11483495,4551152,54907,36340926,187261480,19255528,256311660,398796661
ex:568,81 12 8 -48 -137 36 64,0.008087745740107885,1.938978193073319e-05,25000,8,22,3795952,879578466,7168338,89238,3018774,11956526,2643387,13479,38092920,179626592,6333142,238994336,362450624
ex:568,81 12 8 -48 -137 36 64,0.008087745740107885,8.712019921258178e-06,25000,8,26,3795952,879578466,7168338,62012,3018774,12273187,1823837,5932,39252434,178653718,3184948,237865314,358355444
ex:568,81 12 8 -48 -137 36 64,0.001857561615353771,0.00045216562530412335,25000,11,14,3795952,879578466,1709747,479129,1347098,2926179,15105257,320050,45178638,219096212,85502748,362036130,562092741
ex:568,81 12 8 -48 -137 36 64,0.001857561615353771,7.840922790805278e-05,25000,11,18,3795952,879578466,1709747,149139,1347098,4106875,4551152,54907,50083570,145088092,20354144,229512008,331496949
ex:568,81 12 8 -48 -137 36 64,0.001857561615353771,1.938978193073319e-05,25000,11,22,3795952,879578466,1709747,89238,1347098,4579906,2643387,13479,49100220,124644478,6220404,194728236,295124444
ex:568,81 12 8 -48 -137 36 64,0.001857561615353771,8.712019921258178e-06,25000,11,26,3795952,879578466,1709747,62012,1347098,4896567,1823837,5932,63482906,127333028,3403264,211198274,311279742
ex:568,81 12 8 -48 -137 36 64,0.00045216562530412335,0.00045216562530412335,25000,14,14,3795952,879578466,479129,479129,448142,0,15105257,320050,58684988,149992666,87753026,309317174,462594899
ex:568,81 12 8 -48 -137 36 64,0.00045216562530412335,7.840922790805278e-05,25000,14,18,3795952,879578466,479129,149139,448142,1180696,4551152,54907,61139428,74949418,18925468,168915742,260960530
ex:568,81 12 8 -48 -137 36 64,0.00045216562530412335,1.938978193073319e-05,25000,14,22,3795952,879578466,479129,89238,448142,1653727,2643387,13479,61805002,63273300,6141346,145597226,219912909
ex:568,81 12 8 -48 -137 36 64,0.00045216562530412335,8.712019921258178e-06,25000,14,26,3795952,879578466,479129,62012,448142,1970388,1823837,5932,60544206,59991096,3049038,138388916,213979090
ex:568,81 12 8 -48 -137 36 64,0.00011759291040775241,7.840922790805278e-05,25000,17,18,3795952,879578466,184466,149139,179958,179958,4551152,54907,69412754,50759918,18723674,151504922,233745021
ex:568,81 12 8 -48 -137 36 64,0.00011759291040775241,1.938978193073319e-05,25000,17,22,3795952,879578466,184466,89238,179958,652989,2643387,13479,69734948,38908436,5859388,128025474,198398111
ex:568,81 12 8 -48 -137 36 64,0.00011759291040775241,8.712019921258178e-06,25000,17,26,3795952,879578466,184466,62012,179958,969650,1823837,5932,75401194,38001730,2996180,132170726,199789977
ex:568,81 12 8 -48 -137 36 64,0.008087745740107885,0.00045216562530412335,75000,8,14,31969712,7916139785,64096118,3808586,27032344,90948710,121694458,2886778,264942960,2544883050,709400764,3571126820,5599085464
ex:568,81 12 8 -48 -137 36 64,0.008087745740107885,7.840922790805278e-05,75000,8,18,31969712,7916139785,64096118,857245,27032344,99713868,26975160,497710,238526262,1697428780,146514422,2133227582,3373698119
ex:568,81 12 8 -48 -137 36 64,0.008087745740107885,1.938978193073319e-05,75000,8,22,31969712,7916139785,64096118,369476,27032344,102155270,11254274,122322,243511532,1572471528,47613568,1916420432,3043300507
ex:568,81 12 8 -48 -137 36 64,0.008087745740107885,8.712019921258178e-06,75000,8,26,31969712,7916139785,64096118,229175,27032344,103405082,6890855,54538,248234308,1573727278,24873580,1903338938,3007047569
ex:568,81 12 8 -48 -137 36 64,0.001857561615353771,0.00045216562530412335,75000,11,14,31969712,7916139785,14891699,3808586,11778203,25162107,121694458,2886778,304562766,1900962810,678062798,2930064220,4774472986
ex:568,81 12 8 -48 -137 36 64,0.001857561615353771,7.840922790805278e-05,75000,11,18,31969712,7916139785,14891699,857245,11778203,33927265,26975160,497710,329788678,1179591788,149002694,1710185394,2646690164
ex:568,81 12 8 -48 -137 36 64,0.001857561615353771,1.938978193073319e-05,75000,11,22,31969712,7916139785,14891699,369476,11778203,36368667,11254274,122322,467956394,1332093054,61907134,1932973036,2374571247
ex:568,81 12 8 -48 -137 36 64,0.001857561615353771,8.712019921258178e-06,75000,11,26,31969712,7916139785,14891699,229175,11778203,37618479,6890855,54538,555712326,1543523308,39026210,2223962324,2356384234
ex:568,81 12 8 -48 -137 36 64,0.00045216562530412335,0.00045216562530412335,75000,14,14,31969712,7916139785,3808586,3808586,3581399,0,121694458,2886778,531259016,1598660066,866110780,3054664038,3897998875
ex:568,81 12 8 -48 -137 36 64,0.00045216562530412335,7.840922790805278e-05,75000,14,18,31969712,7916139785,3808586,857245,3581399,8765158,26975160,497710,569676838,788699568,187493580,1608227464,1924990300
ex:568,81 12 8 -48 -137 36 64,0.00045216562530412335,1.938978193073319e-05,75000,14,22,31969712,7916139785,3808586,369476,3581399,11206560,11254274,122322,610886368,628241616,62271628,1371833376,1658463091
ex:568,81 12 8 -48 -137 36 64,0.00045216562530412335,8.712019921258178e-06,75000,14,26,31969712,7916139785,3808586,229175,3581399,12456372,6890855,54538,600618064,601992716,31642400,1305658022,1579992002
ex:568,81 12 8 -48 -137 36 64,0.00011759291040775241,7.840922790805278e-05,75000,17,18,31969712,7916139785,1168619,857245,1147727,1147727,26975160,497710,709538706,514515344,189357198,1477744154,1740935887
ex:568,81 12 8 -48 -137 36 64,0.00011759291040775241,1.938978193073319e-05,75000,17,22,31969712,7916139785,1168619,369476,1147727,3589129,11254274,122322,723149090,368000468,60920684,1220323974,1428178854
ex:568,81 12 8 -48 -137 36 64,0.00011759291040775241,8.712019921258178e-06,75000,17,26,31969712,7916139785,1168619,229175,1147727,4838941,6890855,54538,738253666,343864640,31118258,1184878102,1398938747
ex:568,81 12 8 -48 -137 36 64,0.008087745740107885,0.00045216562530412335,150000,8,14,125728336,31664492749,255990699,14733382,107975443,362040243,472679874,11557464,1195500656,13470897290,3468287416,18320267962,22353284716
ex:568,81 12 8 -48 -137 36 64,0.008087745740107885,7.840922790805278e-05,150000,8,18,125728336,31664492749,255990699,2941753,107975443,395212560,93789849,1995235,1223414028,9178065482,721154582,11313630546,13662442229
ex:568,81 12 8 -48 -137 36 64,0.008087745740107885,1.938978193073319e-05,150000,8,22,125728336,31664492749,255990699,1040280,107975443,403129435,32300324,491063,923841024,6609465586,172994556,7858611692,12286931670
ex:568,81 12 8 -48 -137 36 64,0.008087745740107885,8.712019921258178e-06,150000,8,26,125728336,31664492749,255990699,587024,107975443,406497487,17969972,219034,947651434,6610815782,92349514,7807172988,12125086826
ex:568,81 12 8 -48 -137 36 64,0.001857561615353771,0.00045216562530412335,150000,11,14,125728336,31664492749,59090242,14733382,46788401,99493792,472679874,11557464,1272400232,8427301532,2805745772,12656801286,19013021629
ex:568,81 12 8 -48 -137 36 64,0.001857561615353771,7.840922790805278e-05,150000,11,18,125728336,31664492749,59090242,2941753,46788401,132666109,93789849,1995235,1168469506,4620381736,532576104,6464408126,10344053317
ex:568,81 12 8 -48 -137 36 64,0.001857561615353771,1.938978193073319e-05,150000,11,22,125728336,31664492749,59090242,1040280,46788401,140582984,32300324,491063,1203573184,4159293162,169223144,5683405522,8969274542
ex:568,81 12 8 -48 -137 36 64,0.001857561615353771,8.712019921258178e-06,150000,11,26,125728336,31664492749,59090242,587024,46788401,143951036,17969972,219034,1214757944,4101303148,88542672,5554717034,8833104969
ex:568,81 12 8 -48 -137 36 64,0.00045216562530412335,0.00045216562530412335,150000,14,14,125728336,31664492749,14733382,14733382,13870659,0,472679874,11557464,1416139422,5132011692,2588830720,9266927306,15013587905
ex:568,81 12 8 -48 -137 36 64,0.00045216562530412335,7.840922790805278e-05,150000,14,18,125728336,31664492749,14733382,2941753,13870659,33172317,93789849,1995235,1486681538,2330892610,519386432,4479353494,7138559010
ex:568,81 12 8 -48 -137 36 64,0.00045216562530412335,1.938978193073319e-05,150000,14,22,125728336,31664492749,14733382,1040280,13870659,41089192,32300324,491063,1529440644,1843935448,160930414,3677949716,5795280380
ex:568,81 12 8 -48 -137 36 64,0.00045216562530412335,8.712019921258178e-06,150000,14,26,125728336,31664492749,14733382,587024,13870659,44457244,17969972,219034,1531545174,1762118832,83688912,3528881938,5620169083
ex:568,81 12 8 -48 -137 36 64,0.00011759291040775241,7.840922790805278e-05,150000,17,18,125728336,31664492749,4180310,2941753,4110848,4110848,93789849,1995235,1833465434,1472414514,518618604,3961717062,6292694331
ex:568,81 12 8 -48 -137 36 64,0.00011759291040775241,1.938978193073319e-05,150000,17,22,125728336,31664492749,4180310,1040280,4110848,12027723,32300324,491063,1856162600,1005669706,157670474,3163393534,5003366842
ex:568,81 12 8 -48 -137 36 64,0.00011759291040775241,8.712019921258178e-06,150000,17,26,125728336,31664492749,4180310,587024,4110848,15395775,17969972,219034,1893272624,941627404,82569988,3063341060,4805516294
bc:33,225 -1080 -474 2489 678 -392 4,0.012076499367620046,0.0007446921099831577,25000,8,14,3007280,473183508,5766818,429715,2223968,7840807,13441195,281824,31532900,222667958,73693342,345395790,526725968
bc:33,225 -1080 -474 2489 678 -392 4,0.012076499367620046,0.00016060866477704886,25000,8,18,3007280,473183508,5766818,152071,2223968,8930037,4624469,60481,31973970,147647724,20212500,217488986,336780717
bc:33,225 -1080 -474 2489 678 -392 4,0.012076499367620046,5.190553860215752e-05,25000,8,22,3007280,473183508,5766818,93031,2223968,9417533,2755052,19499,34531048,136087670,8516180,198279494,304965417
bc:33,225 -1080 -474 2489 678 -392 4,0.012076499367620046,2.4016420182359516e-05,25000,8,26,3007280,473183508,5766818,64594,2223968,9733622,1896672,9032,40667532,141604566,5066728,210731350,302470615
bc:33,225 -1080 -474 2489 678 -392 4,0.0027377492594947376,0.0007446921099831577,25000,11,14,3007280,473183508,1367066,429715,1042310,2334565,13441195,281824,40519306,183234448,72902948,312897534,483409115
bc:33,225 -1080 -474 2489 678 -392 4,0.0027377492594947376,0.00016060866477704886,25000,11,18,3007280,473183508,1367066,152071,1042310,3423795,4624469,60481,41805214,111798270,20300654,191442214,296266526
bc:33,225 -1080 -474 2489 678 -392 4,0.0027377492594947376,5.190553860215752e-05,25000,11,22,3007280,473183508,1367066,93031,1042310,3911291,2755052,19499,45101058,101652206,8542638,173921594,262906213
bc:33,225 -1080 -474 2489 678 -392 4,0.0027377492594947376,2.4016420182359516e-05,25000,11,26,3007280,473183508,1367066,64594,1042310,4227380,1896672,9032,49837962,104018828,4785320,180213630,257661699
bc:33,225 -1080 -474 2489 678 -392 4,0.0007446921099831577,0.0007446921099831577,25000,14,14,3007280,473183508,429715,429715,394500,0,13441195,281824,51446006,131630568,74567896,273147902,416746022
bc:33,225 -1080 -474 2489 678 -392 4,0.0007446921099831577,0.00016060866477704886,25000,14,18,3007280,473183508,429715,152071,394500,1089230,4624469,60481,56641266,70621888,20420128,165325486,249558801
bc:33,225 -1080 -474 2489 678 -392 4,0.0007446921099831577,5.190553860215752e-05,25000,14,22,3007280,473183508,429715,93031,394500,1576726,2755052,19499,57469790,58646476,8581458,142425172,214676350
bc:33,225 -1080 -474 2489 678 -392 4,0.0007446921099831577,2.4016420182359516e-05,25000,14,26,3007280,473183508,429715,64594,394500,1892815,1896672,9032,56686268,53553646,4440040,133612886,205559018
bc:33,225 -1080 -474 2489 678 -392 4,0.00022628733117584202,0.00016060866477704886,25000,17,18,3007280,473183508,183751,152071,177438,177438,4624469,60481,64617002,51428654,20351556,152365934,230316006
bc:33,225 -1080 -474 2489 678 -392 4,0.00022628733117584202,5.190553860215752e-05,25000,17,22,3007280,473183508,183751,93031,177438,664934,2755052,19499,62553672,39735830,8401056,127347646,192337234
bc:33,225 -1080 -474 2489 678 -392 4,0.00022628733117584202,2.4016420182359516e-05,25000,17,26,3007280,473183508,183751,64594,177438,981023,1896672,9032,67869848,37615032,4569714,129102028,188836491
bc:33,225 -1080 -474 2489 678 -392 4,0.012076499367620046,0.0007446921099831577,75000,8,14,23809120,4258623151,51511053,3389974,19823840,68875247,107383099,2554484,190285434,1962890000,595429178,2801757982,4438437771
bc:33,225 -1080 -474 2489 678 -392 4,0.012076499367620046,0.00016060866477704886,75000,8,18,23809120,4258623151,51511053,908633,19823840,76953183,28451700,548327,198135334,1321448168,153018716,1724310582,2672427000
bc:33,225 -1080 -474 2489 678 -392 4,0.012076499367620046,5.190553860215752e-05,75000,8,22,23809120,4258623151,51511053,426677,19823840,79638202,13018935,176414,203351480,1193071444,62328782,1517562098,2354888150
bc:33,225 -1080 -474 2489 678 -392 4,0.012076499367620046,2.4016420182359516e-05,75000,8,26,23809120,4258623151,51511053,260519,19823840,81021888,7842368,80838,213405170,1204922280,33906928,1508316080,2302249256
bc:33,225 -1080 -474 2489 678 -392 4,0.0027377492594947376,0.0007446921099831577,75000,11,14,23809120,4258623151,11843456,3389974,9079668,19963084,107383099,2554484,239948950,1572656520,576388120,2440844458,3968048598
bc:33,225 -1080 -474 2489 678 -392 4,0.0027377492594947376,0.00016060866477704886,75000,11,18,23809120,4258623151,11843456,908633,9079668,28041020,28451700,548327,257242312,969461358,154908522,1432106110,2226705530
bc:33,225 -1080 -474 2489 678 -392 4,0.0027377492594947376,5.190553860215752e-05,75000,11,22,23809120,4258623151,11843456,426677,9079668,30726039,13018935,176414,262922814,838928582,61278298,1216723518,1904786152
bc:33,225 -1080 -474 2489 678 -392 4,0.0027377492594947376,2.4016420182359516e-05,75000,11,26,23809120,4258623151,11843456,260519,9079668,32109725,7842368,80838,267698944,814941956,32971562,1169799840,1837154122
bc:33,225 -1080 -474 2489 678 -392 4,0.0007446921099831577,0.0007446921099831577,75000,14,14,23809120,4258623151,3389974,3389974,3133479,0,107383099,2554484,295237196,1088692644,575177942,2009431404,3286876876
bc:33,225 -1080 -474 2489 678 -392 4,0.0007446921099831577,0.00016060866477704886,75000,14,18,23809120,4258623151,3389974,908633,3133479,8077936,28451700,548327,312375206,551963846,146023098,1059078204,1673927928
bc:33,225 -1080 -474 2489 678 -392 4,0.0007446921099831577,5.190553860215752e-05,75000,14,22,23809120,4258623151,3389974,426677,3133479,10762955,13018935,176414,326373492,433253340,59527166,871240006,1361545654
bc:33,225 -1080 -474 2489 678 -392 4,0.0007446921099831577,2.4016420182359516e-05,75000,14,26,23809120,4258623151,3389974,260519,3133479,12146641,7842368,80838,335413784,412150576,32195822,833846096,1297966162
bc:33,225 -1080 -474 2489 678 -392 4,0.00022628733117584202,0.00016060866477704886,75000,17,18,23809120,4258623151,1188089,908633,1156884,1156884,28451700,548327,386122384,382844224,148265828,966589674,1508283327
bc:33,225 -1080 -474 2489 678 -392 4,0.00022628733117584202,5.190553860215752e-05,75000,17,22,23809120,4258623151,1188089,426677,1156884,3841903,13018935,176414,400115320,275892780,60595894,788808824,1202414402
bc:33,225 -1080 -474 2489 678 -392 4,0.00022628733117584202,2.4016420182359516e-05,75000,17,26,23809120,4258623151,1188089,260519,1156884,5225589,7842368,80838,388654784,246662090,32073990,721886080,1128100789
bc:33,225 -1080 -474 2489 678 -392 4,0.012076499367620046,0.0007446921099831577,150000,8,14,91936816,17034464355,205706907,13091695,79088309,273817917,416389478,10241444,675467976,8052571322,2260119324,11122088104,17880315426
bc:33,225 -1080 -474 2489 678 -392 4,0.012076499367620046,0.00016060866477704886,150000,8,18,91936816,17034464355,205706907,3176141,79088309,304415167,100748808,2203036,681915500,5372735564,561163704,6751255010,10707882882
bc:33,225 -1080 -474 2489 678 -392 4,0.012076499367620046,5.190553860215752e-05,150000,8,22,91936816,17034464355,205706907,1290778,79088309,313426790,40180315,709747,700347796,4915471060,215848608,5979257058,9431437118
bc:33,225 -1080 -474 2489 678 -392 4,0.012076499367620046,2.4016420182359516e-05,150000,8,26,91936816,17034464355,205706907,715874,79088309,317460724,22003541,325563,718488618,4907955592,118885970,5893691250,9199547342
bc:33,225 -1080 -474 2489 678 -392 4,0.0027377492594947376,0.0007446921099831577,150000,11,14,91936816,17034464355,46940817,13091695,36024892,78829763,416389478,10241444,888347912,6499345734,2251098788,9770960194,15744533449
bc:33,225 -1080 -474 2489 678 -392 4,0.0027377492594947376,0.00016060866477704886,150000,11,18,91936816,17034464355,46940817,3176141,36024892,109427013,100748808,2203036,900665888,3881931626,563148892,5478332170,8601331184
bc:33,225 -1080 -474 2489 678 -392 4,0.0027377492594947376,5.190553860215752e-05,150000,11,22,91936816,17034464355,46940817,1290778,36024892,118438636,40180315,709747,915369648,3358174180,212005636,4626028346,7295886662
bc:33,225 -1080 -474 2489 678 -392 4,0.0027377492594947376,2.4016420182359516e-05,150000,11,26,91936816,17034464355,46940817,715874,36024892,122472570,22003541,325563,952810866,3296854182,114993992,4508532630,7103924915
bc:33,225 -1080 -474 2489 678 -392 4,0.0007446921099831577,0.0007446921099831577,150000,14,14,91936816,17034464355,13091695,13091695,12121921,0,416389478,10241444,1098115036,4457753500,2226608630,7912008582,12847959049
bc:33,225 -1080 -474 2489 678 -392 4,0.0007446921099831577,0.00016060866477704886,150000,14,18,91936816,17034464355,13091695,3176141,12121921,30597250,100748808,2203036,1154798972,2183349358,553304444,4023551414,6303490046
bc:33,225 -1080 -474 2489 678 -392 4,0.0007446921099831577,5.190553860215752e-05,150000,14,22,91936816,17034464355,13091695,1290778,12121921,39608873,40180315,709747,1147345790,1641811934,203392216,3132340476,5002452618
bc:33,225 -1080 -474 2489 678 -392 4,0.0007446921099831577,2.4016420182359516e-05,150000,14,26,91936816,17034464355,13091695,715874,12121921,43642807,22003541,325563,1193029344,1563858620,112252384,3017815182,4747468266
bc:33,225 -1080 -474 2489 678 -392 4,0.00022628733117584202,0.00016060866477704886,150000,17,18,91936816,17034464355,4292265,3176141,4187076,4187076,100748808,2203036,1384137284,1458746508,543941604,3518755784,5555367511
bc:33,225 -1080 -474 2489 678 -392 4,0.00022628733117584202,5.190553860215752e-05,150000,17,22,91936816,17034464355,4292265,1290778,4187076,13198699,40180315,709747,1424758092,1008984820,204456808,2774324764,4339307197
bc:33,225 -1080 -474 2489 678 -392 4,0.00022628733117584202,2.4016420182359516e-05,150000,17,26,91936816,17034464355,4292265,715874,4187076,17232633,22003541,325563,1436126588,898555058,109717876,2587685534,4067967925
bc:1451,46206000 -119956800 -321256619 411391728 665817346 137451720 23668225,0.017716067711973867,0.0016261731598706053,25000,8,14,1650960,373697341,6977466,717151,1461874,6861547,22299525,543604,16543606,263329840,129314936,428210204,672266922
