curve,f,R1_pred,R2_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
td:696,5 -7 -5 5 8 -3 -10,0.0004233621307281584,4.352002118463709e-05,300000,8,11,48717920,218305,3707502286,1414763,145915,1376828,2323802,4792393,139646,225001608,244222696,35584588,559718412,1063721242
td:696,5 -7 -5 5 8 -3 -10,0.0004233621307281584,5.122353988921673e-06,300000,8,14,48717920,218305,3707502286,1414763,17305,1376828,2574188,564667,16614,227138868,214284066,5845604,503516290,956447077
td:696,5 -7 -5 5 8 -3 -10,0.0004233621307281584,3.2882518296693206e-07,300000,8,18,48717920,218305,3707502286,1414763,1059,1376828,2606670,34658,1044,231419652,207318984,542584,497486140,941045936
td:696,5 -7 -5 5 8 -3 -10,0.0004233621307281584,2.5124090137124555e-08,300000,8,22,48717920,218305,3707502286,1414763,72,1376828,2608661,2631,71,236363892,208525332,80448,506328936,955623075
td:696,5 -7 -5 5 8 -3 -10,0.0004233621307281584,2.6157493445827375e-09,300000,8,26,48717920,218305,3707502286,1414763,8,1376828,2608802,360,8,238947052,208156152,24176,510087052,964926267
td:696,5 -7 -5 5 8 -3 -10,4.352002118463709e-05,4.352002118463709e-05,300000,11,11,48717920,218305,3707502286,145915,145915,145516,0,4792393,139646,315588860,125447302,36840356,543204100,985059079
td:696,5 -7 -5 5 8 -3 -10,4.352002118463709e-05,5.122353988921673e-06,300000,11,14,48717920,218305,3707502286,145915,17305,145516,250386,564667,16614,300444016,130555136,5891140,494594134,935886501
td:696,5 -7 -5 5 8 -3 -10,4.352002118463709e-05,3.2882518296693206e-07,300000,11,18,48717920,218305,3707502286,145915,1059,145516,282868,34658,1044,308634544,124860784,528140,494021936,932746531
td:696,5 -7 -5 5 8 -3 -10,4.352002118463709e-05,2.5124090137124555e-08,300000,11,22,48717920,218305,3707502286,145915,72,145516,284859,2631,71,314572874,126021790,76506,502520072,948899561
td:696,5 -7 -5 5 8 -3 -10,4.352002118463709e-05,2.6157493445827375e-09,300000,11,26,48717920,218305,3707502286,145915,8,145516,285000,360,8,319120142,124601644,24442,508099684,961114287
td:696,5 -7 -5 5 8 -3 -10,5.122353988921673e-06,5.122353988921673e-06,300000,14,14,48717920,218305,3707502286,17305,17305,17299,0,564667,16614,419003290,89531554,6660076,585065760,1049687308
td:696,5 -7 -5 5 8 -3 -10,5.122353988921673e-06,3.2882518296693206e-07,300000,14,18,48717920,218305,3707502286,17305,1059,17299,32482,34658,1044,401620686,120317386,544972,582843462,1103401288
td:696,5 -7 -5 5 8 -3 -10,5.122353988921673e-06,2.5124090137124555e-08,300000,14,22,48717920,218305,3707502286,17305,72,17299,34473,2631,71,483474690,141318756,88720,699396646,1118564817
td:696,5 -7 -5 5 8 -3 -10,5.122353988921673e-06,2.6157493445827375e-09,300000,14,26,48717920,218305,3707502286,17305,8,17299,34614,360,8,576678890,164094286,41646,831238660,1148371155
td:696,5 -7 -5 5 8 -3 -10,6.444973586151868e-07,3.2882518296693206e-07,300000,17,18,48717920,218305,3707502286,2204,1059,2203,2203,34658,1044,624612076,151462200,806298,853608338,1298142687
td:696,5 -7 -5 5 8 -3 -10,6.444973586151868e-07,2.5124090137124555e-08,300000,17,22,48717920,218305,3707502286,2204,72,2203,4194,2631,71,649299730,150477244,177754,880604034,1340357258
td:696,5 -7 -5 5 8 -3 -10,6.444973586151868e-07,2.6157493445827375e-09,300000,17,26,48717920,218305,3707502286,2204,8,2203,4335,360,8,697889858,157670310,48786,942811972,1365208260
td:368,2 8 2 -4 4 0 -7,0.006930211134325363,6.111525403593106e-05,100000,5,11,1376528,9637,331148059,2318573,20433,1104504,2547546,662720,19796,6806032,62094284,6760982,85329884,125098098
