curve,variant,round,perf,cyc1,cyc2,cyc3,cyctot,sp1,sp2
dense,128-lo,4,9106423625,2389304616,2725882058,1944508512,7323972916,23,23
sparse,128a-ba,4,15157745163,6809917500,2579819438,82252374,10240092148,12,17
dense,128a-ba,4,9131222022,1892166684,2236252850,1581382744,5930512716,23,23
sparse,256-ba,5,12610957519,6822283398,2421111008,100048168,9917248056,12,17
dense,256-ba,5,8921884296,2416285914,3045233800,2188943566,7904386412,23,23
sparse,256-lo,5,14347152892,6869939786,3849680736,99869512,11391329532,12,17
dense,256-lo,5,8663875511,2192421750,2650535030,1968310112,7037989096,23,23
sparse,512e-ba,5,32170378361,22496288180,3651675966,117118140,27104624734,12,17
dense,512e-ba,5,13323793320,5669675542,2871176272,1952976404,10762406764,23,23
sparse,512e-lo,5,33343399381,22259506978,4545972598,113404228,27741658800,12,17
dense,512e-lo,5,13259947043,5988852788,2772127570,2015518328,11052267036,23,23
sparse,64c16-lo,5,21311066237,11297658752,4522042640,106422754,17849687754,12,17
dense,64c16-lo,5,11608838481,4350030904,2824002986,2012677252,9580348542,23,23
sparse,128-ba,5,16853865748,8981633832,4823371552,115654368,14922623992,12,17
dense,128-ba,5,9293809333,2571265904,2843904580,2035797038,7726846318,23,23
sparse,128-lo,5,17418859920,7573123858,4437704246,94527694,12966726038,12,17
dense,128-lo,5,9154201973,2122471618,2375000652,1690814660,6421899184,23,23
sparse,128a-ba,5,15204366782,6795644330,2567684336,81658366,10211751716,12,17
dense,128a-ba,5,9300339995,2234805244,2544576862,1832298844,6865714728,23,23
sparse,128a-lo,5,16636512695,7886306290,3940019560,101919394,12820550572,12,17
dense,128a-lo,5,9236050726,2072606636,2371893464,1679502534,6354581652,23,23
