pop,curve,f,R1_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
rich,ex:118,2 -1 -2 1 1 2 1,0.0005538482836319345,75000,11,19,4456400,27427,769063750,487010,36296,459775,1236470,1006013,5414,40818254,56587022,2501034,113493076,175744429
rich,ex:118,2 -1 -2 1 1 2 1,0.0003052081358945244,75000,12,20,4456400,27427,769063750,282169,33670,273145,812913,923195,3281,48736260,44333846,1798206,110153404,161254774
rich,ex:118,2 -1 -2 1 1 2 1,0.00016824492809698158,75000,13,21,4456400,27427,769063750,173657,32104,170364,573380,873842,2169,50358308,34157198,1175254,99894346,150241408
rich,ex:118,2 -1 -2 1 1 2 1,9.403575954451477e-05,75000,14,22,4456400,27427,769063750,112574,31315,111279,435067,848715,1401,54945730,27816014,793136,97885526,149512141
rich,ex:118,2 -1 -2 1 1 2 1,5.309570835878139e-05,75000,15,23,4456400,27427,769063750,78050,29434,77496,355055,795468,962,57548924,23213586,572426,95016168,150099563
rich,ex:118,2 -1 -2 1 1 2 1,3.0114926144041283e-05,75000,16,24,4456400,27427,769063750,58138,27338,57885,306951,737548,705,63719772,21716308,527982,101401316,155571901
rich,ex:118,2 -1 -2 1 1 2 1,1.7292764638781982e-05,75000,17,25,4456400,27427,769063750,46705,26222,46557,276371,706758,553,69610946,20861692,385194,105524614,159234057
rich,ex:118,2 -1 -2 1 1 2 1,1.0016919180828423e-05,75000,18,26,4456400,27427,769063750,40069,26113,39969,256009,703191,447,71428376,19649790,343402,106075626,163916754
rich,ex:118,2 -1 -2 1 1 2 1,5.8214296684228985e-06,75000,19,27,4456400,27427,769063750,36296,26040,36218,242126,700905,376,80723614,20798604,315952,118544222,173243860
rich,ex:118,2 -1 -2 1 1 2 1,3.4931517755351647e-06,75000,20,28,4456400,27427,769063750,33670,26040,33612,205908,700905,376,93810786,22914774,484152,139889700,179100650
rich,ex:118,2 -1 -2 1 1 2 1,2.2236017521930174e-06,75000,21,29,4456400,27427,769063750,32104,26040,32051,172296,700905,376,88118848,19422424,320322,123072116,185591016
