pop,curve,f,R1_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.0005760322438893822,75000,19,27,11207408,70929,2760265458,1702345,415910,1574402,6525273,13208848,307538,213831532,337900600,89919864,693443496,1063841231
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.000429583368324285,75000,20,28,11207408,70929,2760265458,1286504,415910,1212384,4950871,13208848,307538,214843960,292248448,86655642,645551708,1023693515
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.00032229928050136266,75000,21,29,11207408,70929,2760265458,981541,415910,937938,3738487,13208848,307538,230130640,267971438,87468494,636738252,993167913
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.0002436896998912742,75000,22,30,11207408,70929,2760265458,757994,415910,731934,2800549,13208848,307538,238464560,243865318,88591336,625904344,966560221
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.00020068563520457875,75000,23,30,11207408,70929,2760265458,635889,415910,617469,2068615,13208848,307538,249634876,225132300,88193850,612717692,953839978
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.0001761118839550385,75000,24,30,11207408,70929,2760265458,543496,415910,530072,1451146,13208848,307538,254682462,206856606,87732452,599193036,930613496
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.00015854948001492385,75000,25,30,11207408,70929,2760265458,489782,415910,478854,921074,13208848,307538,266018752,198849798,90309538,605643752,930067900
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.00014476256870927829,75000,26,30,11207408,70929,2760265458,451564,415910,442220,442220,13208848,307538,274969686,184832514,87307806,597822354,931268703
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.00013448356974767273,75000,27,30,11207408,70929,2760265458,415910,415910,407992,0,13208848,307538,282118064,160420284,87819438,580223222,904976041
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.00013448356974767273,75000,28,30,11207408,70929,2760265458,415910,415910,407992,0,13208848,307538,291320632,164402498,89595796,596171952,907972873
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.00013448356974767273,75000,29,30,11207408,70929,2760265458,415910,415910,407992,0,13208848,307538,285182538,162365294,88445542,586091190,904502618
rich,bc:1944,802022400 -4556248320 9004690000 5704997400 -7622962175 1184435670 180906625,0.00013448356974767273,75000,30,30,11207408,70929,2760265458,415910,415910,407992,0,13208848,307538,274950146,159043400,86398558,569564798,896988654
rand,td:696,5 -7 -5 5 8 -3 -10,0.0021270590392156465,150000,6,14,12406048,62513,935150007,1801653,4393,1590732,3001751,145435,4231,57667344,149815122,2104106,238587198,362550141
rand,td:696,5 -7 -5 5 8 -3 -10,0.0009455087586262204,150000,7,15,12406048,62513,935150007,804166,2200,757687,1415411,72929,2114,64253962,93247340,1058968,186734670,290953890
rand,td:696,5 -7 -5 5 8 -3 -10,0.0004233621307281584,150000,8,16,12406048,62513,935150007,359599,1129,349761,659924,37416,1074,73876592,66512298,594832,170312710,264005817
rand,td:696,5 -7 -5 5 8 -3 -10,0.00019414478878570596,150000,9,17,12406048,62513,935150007,164803,551,162643,311292,18336,530,81993848,51181056,322132,162707820,252956139
rand,td:696,5 -7 -5 5 8 -3 -10,9.122465979087389e-05,150000,10,18,12406048,62513,935150007,77746,272,77275,149200,9165,269,90779514,43155044,187158,164157190,255582603
rand,td:696,5 -7 -5 5 8 -3 -10,4.352002118463709e-05,150000,11,19,12406048,62513,935150007,37186,131,37093,72197,4553,129,101030830,39206748,105018,171138996,265459696
rand,td:696,5 -7 -5 5 8 -3 -10,2.1009665399479976e-05,150000,12,20,12406048,62513,935150007,17843,70,17822,35235,2675,68,110396344,39233214,66900,180974128,280828460
rand,td:696,5 -7 -5 5 8 -3 -10,1.0341356166313568e-05,150000,13,21,12406048,62513,935150007,8743,41,8738,17483,1636,41,121293012,38750556,51330,191242902,297652238
rand,td:696,5 -7 -5 5 8 -3 -10,5.122353988921673e-06,150000,14,22,12406048,62513,935150007,4393,22,4392,8786,920,22,133793698,37330214,44592,204459176,322486695
rand,td:696,5 -7 -5 5 8 -3 -10,2.5619127534365506e-06,150000,15,23,12406048,62513,935150007,2200,13,2200,4416,564,13,149692210,39064562,29420,222815542,338112486
rand,td:696,5 -7 -5 5 8 -3 -10,1.2814123953643126e-06,150000,16,24,12406048,62513,935150007,1129,4,1129,2229,204,4,157808248,38777916,19154,230099448,357860316
rand,td:696,5 -7 -5 5 8 -3 -10,6.444973586151868e-07,150000,17,25,12406048,62513,935150007,551,2,551,1104,105,2,167652050,39394442,20028,240880362,374799328
rand,td:696,5 -7 -5 5 8 -3 -10,3.2882518296693206e-07,150000,18,26,12406048,62513,935150007,272,0,272,555,0,0,180793096,40844414,0,256249220,389513791
rand,td:696,5 -7 -5 5 8 -3 -10,1.692961338047571e-07,150000,19,27,12406048,62513,935150007,131,0,131,283,0,0,196351214,41598926,0,273940554,420654411
rand,td:696,5 -7 -5 5 8 -3 -10,8.791143379492947e-08,150000,20,28,12406048,62513,935150007,70,0,70,152,0,0,207012926,40356746,0,282974972,440918579
rand,td:696,5 -7 -5 5 8 -3 -10,4.654134730319795e-08,150000,21,29,12406048,62513,935150007,41,0,41,82,0,0,230058636,41908628,0,309417030,458615651
rand,td:696,5 -7 -5 5 8 -3 -10,2.5124090137124555e-08,150000,22,30,12406048,62513,935150007,22,0,22,41,0,0,236703860,40068470,0,313739902,480014721
rand,td:696,5 -7 -5 5 8 -3 -10,1.3591720893854269e-08,150000,23,30,12406048,62513,935150007,13,0,13,19,0,0,251888012,39400026,0,328317476,499049662
rand,td:696,5 -7 -5 5 8 -3 -10,7.819894212902455e-09,150000,24,30,12406048,62513,935150007,4,0,4,6,0,0,275534600,40598734,0,354890984,526016613
rand,td:696,5 -7 -5 5 8 -3 -10,4.515713559563389e-09,150000,25,30,12406048,62513,935150007,2,0,2,2,0,0,272771664,37629274,0,346634600,540713309
rand,td:696,5 -7 -5 5 8 -3 -10,2.6157493445827375e-09,150000,26,30,12406048,62513,935150007,0,0,0,0,0,0,298658544,39617942,0,377899780,564969845
rand,td:696,5 -7 -5 5 8 -3 -10,1.5188222000802992e-09,150000,27,30,12406048,62513,935150007,0,0,0,0,0,0,294826706,37968654,0,368945936,574046086
rand,td:696,5 -7 -5 5 8 -3 -10,1.0135051732104833e-09,150000,28,30,12406048,62513,935150007,0,0,0,0,0,0,322627086,39770900,0,399566302,604891989
rand,td:696,5 -7 -5 5 8 -3 -10,6.999878085052773e-10,150000,29,30,12406048,62513,935150007,0,0,0,0,0,0,427551200,48636290,0,523136378,642869988
rand,td:696,5 -7 -5 5 8 -3 -10,5.264371121816549e-10,150000,30,30,12406048,62513,935150007,0,0,0,0,0,0,345529808,30014946,0,413692856,611095547
rand,td:313,-3 -6 -2 -7 6 0 10,0.0035611394112464215,150000,6,14,16600256,85767,1560201654,5073116,14313,4090262,8178472,472387,12472,70906144,311631606,4706112,415212296,663723204
rand,td:313,-3 -6 -2 -7 6 0 10,0.0016346213690967182,150000,7,15,16600256,85767,1560201654,2327622,7307,2096562,4102509,243342,6388,80031974,190202282,2698094,300183078,479958889
rand,td:313,-3 -6 -2 -7 6 0 10,0.0007648228424214003,150000,8,16,16600256,85767,1560201654,1089092,3721,1035932,2013248,124044,3261,92921874,129190206,1543178,252496158,393137023
rand,td:313,-3 -6 -2 -7 6 0 10,0.0003634801627349229,150000,9,17,16600256,85767,1560201654,517920,1881,505785,981035,62196,1648,105448400,90507610,800030,225436242,347954702
rand,td:313,-3 -6 -2 -7 6 0 10,0.0001736984848467773,150000,10,18,16600256,85767,1560201654,247482,929,244633,477131,30447,814,111404570,66044302,410618,205938884,334923028
rand,td:313,-3 -6 -2 -7 6 0 10,8.366466714050896e-05,150000,11,19,16600256,85767,1560201654,119793,500,119072,233427,16349,436,125025450,57613514,266224,212027762,337818807
rand,td:313,-3 -6 -2 -7 6 0 10,4.0389839309211225e-05,150000,12,20,16600256,85767,1560201654,57955,255,57775,114855,8479,226,133032096,51425034,161394,213989496,341171625
rand,td:313,-3 -6 -2 -7 6 0 10,1.9986724606619988e-05,150000,13,21,16600256,85767,1560201654,28500,135,28451,57335,4635,120,142342640,48597094,99210,220163812,358993210
rand,td:313,-3 -6 -2 -7 6 0 10,9.99462393218303e-06,150000,14,22,16600256,85767,1560201654,14313,68,14299,29019,2370,61,160516278,48186800,58288,238709622,381250880
rand,td:313,-3 -6 -2 -7 6 0 10,5.026881859381998e-06,150000,15,23,16600256,85767,1560201654,7307,36,7301,14788,1306,33,172232630,48876120,45310,251439848,402291681
rand,td:313,-3 -6 -2 -7 6 0 10,2.533231803153133e-06,150000,16,24,16600256,85767,1560201654,3721,19,3719,7523,716,19,195161370,51520964,32508,279015806,431703026
rand,td:313,-3 -6 -2 -7 6 0 10,1.2839668043378895e-06,150000,17,25,16600256,85767,1560201654,1881,9,1881,3823,371,9,205830862,51036896,23204,289621742,460331839
rand,td:313,-3 -6 -2 -7 6 0 10,6.726427924017192e-07,150000,18,26,16600256,85767,1560201654,929,8,929,1951,328,8,225196154,51847656,24948,310963282,483492725
rand,td:313,-3 -6 -2 -7 6 0 10,3.525272457500979e-07,150000,19,27,16600256,85767,1560201654,500,4,500,1030,140,4,246477762,57331548,25050,338091688,514036103
rand,td:313,-3 -6 -2 -7 6 0 10,1.8482010942238143e-07,150000,20,28,16600256,85767,1560201654,255,3,255,534,93,3,262366794,52173326,18050,348649800,543960653
rand,td:313,-3 -6 -2 -7 6 0 10,9.784594028243723e-08,150000,21,29,16600256,85767,1560201654,135,1,135,282,59,1,281705530,54495524,13714,371511126,567583877
rand,td:313,-3 -6 -2 -7 6 0 10,5.324963958788019e-08,150000,22,30,16600256,85767,1560201654,68,1,68,147,59,1,289785648,54310498,17874,378638916,590395555
rand,td:313,-3 -6 -2 -7 6 0 10,3.007820938202648e-08,150000,23,30,16600256,85767,1560201654,36,1,36,79,59,1,311084910,53070424,12468,400676590,627809759
rand,td:313,-3 -6 -2 -7 6 0 10,1.754810827068833e-08,150000,24,30,16600256,85767,1560201654,19,1,19,43,59,1,342865708,55435336,17004,434788644,653067545
rand,td:313,-3 -6 -2 -7 6 0 10,1.0310673454352525e-08,150000,25,30,16600256,85767,1560201654,9,1,9,24,59,1,355234898,55330064,13490,446522346,684942262
rand,td:313,-3 -6 -2 -7 6 0 10,6.1425288664227805e-09,150000,26,30,16600256,85767,1560201654,8,1,8,15,59,1,383085106,55298758,28362,477916428,707210892
rand,td:313,-3 -6 -2 -7 6 0 10,3.77056260864784e-09,150000,27,30,16600256,85767,1560201654,4,1,4,7,59,1,376992626,54018022,10692,465562428,727002672
rand,td:313,-3 -6 -2 -7 6 0 10,2.38140796335653e-09,150000,28,30,16600256,85767,1560201654,3,1,3,3,59,1,393453376,52661792,15804,480828032,750813380
rand,td:313,-3 -6 -2 -7 6 0 10,1.5673108655838084e-09,150000,29,30,16600256,85767,1560201654,1,1,1,0,59,1,408778856,44551290,17866,487396410,761187713
rand,td:313,-3 -6 -2 -7 6 0 10,1.5673108655838084e-09,150000,30,30,16600256,85767,1560201654,1,1,1,0,59,1,444882520,48139366,20840,531461714,764464238
rand,td:894,-9 3 8 1 9 -2 8,0.005767512573500507,150000,6,14,8886448,54417,937598603,5472502,17944,3748327,7654780,586616,11775,42066492,253656984,4888340,322194786,504035086
rand,td:894,-9 3 8 1 9 -2 8,0.0025416157103561555,150000,7,15,8886448,54417,937598603,2414240,11795,2012105,3924374,387619,5864,47609046,159548398,2706254,231424242,365740613
rand,td:894,-9 3 8 1 9 -2 8,0.0011249774455674786,150000,8,16,8886448,54417,937598603,1071503,8819,984976,1924058,289225,3088,56091958,102140518,1544898,182066130,276585995
rand,td:894,-9 3 8 1 9 -2 8,0.0005192774579078087,150000,9,17,8886448,54417,937598603,499633,7275,479626,947898,239145,1588,61464426,65860284,848528,150369020,233689992
rand,td:894,-9 3 8 1 9 -2 8,0.0002402105465437981,150000,10,18,8886448,54417,937598603,234533,6525,230011,475546,214205,855,68400678,46864790,468812,138590194,214900708
rand,td:894,-9 3 8 1 9 -2 8,0.00011273148438215707,150000,11,19,8886448,54417,937598603,113039,6069,111970,252060,199792,483,77318150,38946668,366286,144317160,210565040
rand,td:894,-9 3 8 1 9 -2 8,5.4328426208268465e-05,150000,12,20,8886448,54417,937598603,57364,5839,57102,146159,192305,257,78644008,31788536,207056,133525852,212707046
rand,td:894,-9 3 8 1 9 -2 8,2.6357355289159948e-05,150000,13,21,8886448,54417,937598603,30736,5714,30663,94896,188542,135,90333094,30362030,128358,144957546,224933765
rand,td:894,-9 3 8 1 9 -2 8,1.2809182009685209e-05,150000,14,22,8886448,54417,937598603,17944,5598,17921,69947,184529,76,99335438,28866406,99550,152549662,237090813
rand,td:894,-9 3 8 1 9 -2 8,6.227991490922127e-06,150000,15,23,8886448,54417,937598603,11795,5508,11789,57624,181485,49,114854274,31563756,185600,177962170,252002912
rand,td:894,-9 3 8 1 9 -2 8,3.2450965169992614e-06,150000,16,24,8886448,54417,937598603,8819,5233,8816,51343,172290,35,115099164,28087652,72570,168967536,264738916
rand,td:894,-9 3 8 1 9 -2 8,1.6951996730593155e-06,150000,17,25,8886448,54417,937598603,7275,5223,7274,47760,171953,25,125830298,28719228,63938,180803434,283559236
rand,td:894,-9 3 8 1 9 -2 8,8.922103542417449e-07,150000,18,26,8886448,54417,937598603,6525,5220,6525,45709,171901,22,134220492,28581152,57112,189638434,293028631
rand,td:894,-9 3 8 1 9 -2 8,4.858102837829372e-07,150000,19,27,8886448,54417,937598603,6069,5213,6069,44404,171742,15,143891394,29385272,59738,200605250,311449320
rand,td:894,-9 3 8 1 9 -2 8,2.6498742751796576e-07,150000,20,28,8886448,54417,937598603,5839,4869,5839,43548,160541,10,152154494,30511172,48672,210736698,325377135
rand,td:894,-9 3 8 1 9 -2 8,1.4789995954491112e-07,150000,21,29,8886448,54417,937598603,5714,4122,5714,42578,135820,7,158396902,29656304,50760,215753952,334883789
rand,td:894,-9 3 8 1 9 -2 8,8.303663638323031e-08,150000,22,30,8886448,54417,937598603,5598,4121,5598,40986,135795,6,170783836,29313806,47716,228527394,355463342
rand,td:894,-9 3 8 1 9 -2 8,4.745328874828668e-08,150000,23,30,8886448,54417,937598603,5508,4121,5508,35388,135795,6,184009818,29424930,46178,242589794,372800245
rand,td:894,-9 3 8 1 9 -2 8,2.771846166960413e-08,150000,24,30,8886448,54417,937598603,5233,4121,5233,29880,135795,6,188701296,29140660,50166,246738184,383448515
rand,td:894,-9 3 8 1 9 -2 8,1.6529357876369434e-08,150000,25,30,8886448,54417,937598603,5223,4121,5223,24647,135795,6,206222434,30297260,64398,266491064,403558246
rand,td:894,-9 3 8 1 9 -2 8,1.1019571917579622e-08,150000,26,30,8886448,54417,937598603,5220,4121,5220,19424,135795,6,203670740,28292754,96276,263246000,409617344
rand,td:894,-9 3 8 1 9 -2 8,7.6289344044782e-09,150000,27,30,8886448,54417,937598603,5213,4121,5213,14204,135795,6,211982698,28897182,51856,270525180,418951921
rand,td:894,-9 3 8 1 9 -2 8,5.5171186523735076e-09,150000,28,30,8886448,54417,937598603,4869,4121,4869,8991,135795,6,224924524,29827716,54808,284300062,431839793
rand,td:894,-9 3 8 1 9 -2 8,4.1659875538330566e-09,150000,29,30,8886448,54417,937598603,4122,4121,4122,4122,135795,6,225465730,29479902,51770,283225660,441031831
rand,td:894,-9 3 8 1 9 -2 8,3.3327900430664456e-09,150000,30,30,8886448,54417,937598603,4121,4121,4121,0,135795,6,232606604,21205062,50708,282317810,435011364
rand,td:564,-10 -1 5 4 6 -5 4,0.005083495831790853,150000,6,14,9553744,52932,795924762,4070030,27046,3001702,6511847,498331,14787,43797304,229808552,6138440,304981330,488744929
rand,td:564,-10 -1 5 4 6 -5 4,0.002401071925311252,150000,7,15,9553744,52932,795924762,1956160,19645,1671385,3537160,262043,7609,52708962,155228014,3627834,238119636,369969138
rand,td:564,-10 -1 5 4 6 -5 4,0.0011608744758112143,150000,8,16,9553744,52932,795924762,956178,15691,882417,1885409,136883,3786,57269754,99468802,1883724,184364700,292064173
rand,td:564,-10 -1 5 4 6 -5 4,0.0005805105161833379,150000,9,17,9553744,52932,795924762,486587,13708,467274,1018678,76887,1992,62643776,69366732,1085292,158950176,254030882
rand,td:564,-10 -1 5 4 6 -5 4,0.0002902973912398896,150000,10,18,9553744,52932,795924762,250939,12203,245802,565108,46567,1085,71680854,51824416,638008,150909544,236665953
rand,td:564,-10 -1 5 4 6 -5 4,0.00014518102992505061,150000,11,19,9553744,52932,795924762,131831,11397,130415,331508,30083,600,74557742,38788322,391604,139927636,228432128
rand,td:564,-10 -1 5 4 6 -5 4,7.26100232976402e-05,150000,12,20,9553744,52932,795924762,71331,11152,70942,212490,22256,358,79788560,33427056,263786,140349422,228890344
rand,td:564,-10 -1 5 4 6 -5 4,3.6321446692572397e-05,150000,13,21,9553744,52932,795924762,42017,10975,41910,152700,16700,186,91946162,31303870,174022,151976846,239858746
rand,td:564,-10 -1 5 4 6 -5 4,1.8170545262644386e-05,150000,14,22,9553744,52932,795924762,27046,10797,27015,121765,14086,106,99121014,29876794,123018,158263980,251179500
rand,td:564,-10 -1 5 4 6 -5 4,9.139031640974988e-06,150000,15,23,9553744,52932,795924762,19645,10746,19634,105547,12618,58,106806372,28634010,99500,164785878,262847754
rand,td:564,-10 -1 5 4 6 -5 4,4.607280414045242e-06,150000,16,24,9553744,52932,795924762,15691,10724,15686,96659,11849,36,117615078,29270460,73748,177614316,276640941
rand,td:564,-10 -1 5 4 6 -5 4,2.392450542084573e-06,150000,17,25,9553744,52932,795924762,13708,10710,13704,91697,11390,22,131448658,29424670,62852,193271598,294002679
rand,td:564,-10 -1 5 4 6 -5 4,1.2979835644201747e-06,150000,18,26,9553744,52932,795924762,12203,10375,12202,88703,10801,15,130936504,28070288,56522,190342932,302850930
rand,td:564,-10 -1 5 4 6 -5 4,7.091350506985932e-07,150000,19,27,9553744,52932,795924762,11397,10370,11397,86876,10677,10,145527426,28526632,57576,206812574,321166280
rand,td:564,-10 -1 5 4 6 -5 4,3.8852669940119233e-07,150000,20,28,9553744,52932,795924762,11152,9769,11152,85849,9945,6,155995758,28911338,45610,218045750,339331276
rand,td:564,-10 -1 5 4 6 -5 4,2.1332595268562671e-07,150000,21,29,9553744,52932,795924762,10975,8353,10975,84466,8495,5,169093272,28900508,41562,232975174,362078053
rand,td:564,-10 -1 5 4 6 -5 4,1.183351291883131e-07,150000,22,30,9553744,52932,795924762,10797,8353,10797,73491,8495,5,181518730,28457984,46232,244534916,380129904
rand,td:564,-10 -1 5 4 6 -5 4,6.67023281015178e-08,150000,23,30,9553744,52932,795924762,10746,8353,10746,62694,8495,5,192139896,29619278,44388,256344878,400625763
rand,td:564,-10 -1 5 4 6 -5 4,3.783235493986205e-08,150000,24,30,9553744,52932,795924762,10724,8353,10724,51948,8495,5,208100286,30369242,48260,274731484,416639905
rand,td:564,-10 -1 5 4 6 -5 4,2.2567863386085773e-08,150000,25,30,9553744,52932,795924762,10710,8353,10710,41224,8495,5,233280070,33479068,53214,304679892,433950397
rand,td:564,-10 -1 5 4 6 -5 4,1.3666003467542079e-08,150000,26,30,9553744,52932,795924762,10375,8353,10375,30514,8495,5,230370472,31594566,54662,298035624,451778890
rand,td:564,-10 -1 5 4 6 -5 4,8.542073309867274e-09,150000,27,30,9553744,52932,795924762,10370,8353,10370,20139,8495,5,230904992,31377552,48164,297440554,462556564
rand,td:564,-10 -1 5 4 6 -5 4,5.9865499927878674e-09,150000,28,30,9553744,52932,795924762,9769,8353,9769,9769,8495,5,235080096,31465736,49956,300889620,465870272
rand,td:564,-10 -1 5 4 6 -5 4,4.520456117003083e-09,150000,29,30,9553744,52932,795924762,8353,8353,8353,0,8495,5,254107970,23594388,51842,312909918,476312272
rand,td:564,-10 -1 5 4 6 -5 4,3.51591031322462e-09,150000,30,30,9553744,52932,795924762,8353,8353,8353,0,8495,5,253269510,23396860,51764,311525066,473122984
rand,td:560,7 8 -8 0 -6 -4 1,0.0075829398646837035,150000,6,14,6998576,52897,1687861165,13639512,72145,5764543,15086590,1860385,43199,36631458,293442122,14221308,367439684,573657967
rand,td:560,7 8 -8 0 -6 -4 1,0.003547943645368,150000,7,15,6998576,52897,1687861165,6484104,48645,4104612,9393860,1098978,22503,40013970,261046110,8153976,332351770,527367575
rand,td:560,7 8 -8 0 -6 -4 1,0.0016757892917320387,150000,8,16,6998576,52897,1687861165,3097149,36804,2461458,5337762,718195,12098,46540026,192923512,4859636,267624786,421883998
rand,td:560,7 8 -8 0 -6 -4 1,0.0007922656722210977,150000,9,17,6998576,52897,1687861165,1499175,30002,1337911,2913061,500641,6330,51780686,128886718,2848770,208659236,316056704
rand,td:560,7 8 -8 0 -6 -4 1,0.0003862945746785452,150000,10,18,6998576,52897,1687861165,754192,26749,712089,1605136,393313,3413,57336954,84966114,1600880,168460790,261046744
rand,td:560,7 8 -8 0 -6 -4 1,0.00019351240508471546,150000,11,19,6998576,52897,1687861165,397992,24363,386152,919791,328260,1829,63747266,59761884,921530,148767752,230611219
rand,td:560,7 8 -8 0 -6 -4 1,9.862584355670246e-05,150000,12,20,6998576,52897,1687861165,206564,22825,203216,557998,291487,1061,68013482,41270822,581372,134841234,209131969
rand,td:560,7 8 -8 0 -6 -4 1,5.031930793709309e-05,150000,13,21,6998576,52897,1687861165,117637,21944,116609,377606,271837,652,82547454,36721630,422522,146556020,207719958
rand,td:560,7 8 -8 0 -6 -4 1,2.5721863128050742e-05,150000,14,22,6998576,52897,1687861165,72145,21187,71813,282940,256568,389,85186376,30049628,268922,141442334,213792402
rand,td:560,7 8 -8 0 -6 -4 1,1.326360813664815e-05,150000,15,23,6998576,52897,1687861165,48645,21001,48514,232313,250770,233,101167630,29954542,217376,159752612,222568009
rand,td:560,7 8 -8 0 -6 -4 1,6.93667337379057e-06,150000,16,24,6998576,52897,1687861165,36804,20904,36757,204800,247618,150,100489508,27688448,151312,155680744,229314945
rand,td:560,7 8 -8 0 -6 -4 1,3.681029881532183e-06,150000,17,25,6998576,52897,1687861165,30002,20083,29986,188947,236368,92,103235548,25819594,109618,156521304,241557967
rand,td:560,7 8 -8 0 -6 -4 1,1.9698079082551027e-06,150000,18,26,6998576,52897,1687861165,26749,20052,26744,179044,235232,66,120038460,27224192,107754,175842750,259663527
rand,td:560,7 8 -8 0 -6 -4 1,1.0673879883120679e-06,150000,19,27,6998576,52897,1687861165,24363,18859,24359,172352,219883,52,118913728,24582140,86824,171869814,267109434
rand,td:560,7 8 -8 0 -6 -4 1,5.902211155239119e-07,150000,20,28,6998576,52897,1687861165,22825,18845,22824,166852,219377,40,129903478,25902758,82116,185361410,279580949
rand,td:560,7 8 -8 0 -6 -4 1,3.443662986581629e-07,150000,21,29,6998576,52897,1687861165,21944,12460,21943,162873,143817,27,138233696,25667052,78666,193850796,292763408
rand,td:560,7 8 -8 0 -6 -4 1,2.041188633911859e-07,150000,22,30,6998576,52897,1687861165,21187,12456,21186,153390,143675,23,147329036,26981416,70008,204280618,302119640
rand,td:560,7 8 -8 0 -6 -4 1,1.2308972225438633e-07,150000,23,30,6998576,52897,1687861165,21001,12456,21001,132204,143675,23,147575904,25884744,57076,202308308,314315431
rand,td:560,7 8 -8 0 -6 -4 1,7.538713093088712e-08,150000,24,30,6998576,52897,1687861165,20904,12456,20904,111203,143675,23,166074616,26210188,90266,222214502,337963802
rand,td:560,7 8 -8 0 -6 -4 1,4.949977067366262e-08,150000,25,30,6998576,52897,1687861165,20083,12456,20083,90299,143675,23,188491978,30114046,138510,256034340,330929692
rand,td:560,7 8 -8 0 -6 -4 1,3.313621012038572e-08,150000,26,30,6998576,52897,1687861165,20052,12456,20052,70216,143675,23,168575934,25766288,71190,224351698,339473994
rand,td:560,7 8 -8 0 -6 -4 1,2.2532622881862293e-08,150000,27,30,6998576,52897,1687861165,18859,12456,18859,50164,143675,23,171576126,25260620,68378,225442290,346382656
rand,td:560,7 8 -8 0 -6 -4 1,1.613282466689549e-08,150000,28,30,6998576,52897,1687861165,18845,12456,18845,31305,143675,23,229766610,30311218,94718,294439954,379081997
rand,td:560,7 8 -8 0 -6 -4 1,1.211079081642293e-08,150000,29,30,6998576,52897,1687861165,12460,12456,12460,12460,143675,23,239995536,29559582,112960,304886662,381601399
rand,td:560,7 8 -8 0 -6 -4 1,9.419503968328945e-09,150000,30,30,6998576,52897,1687861165,12456,12456,12456,0,143675,23,255919432,22604836,117002,315416664,381365886
rand,td:38,4 6 -6 1 -7 -8 -9,0.008989884727321361,150000,6,14,8007904,42896,750089926,6808564,53631,4546652,10567535,1077515,28456,51968462,376678888,13491026,472588536,575362495
rand,td:38,4 6 -6 1 -7 -8 -9,0.004407255516256654,150000,7,15,8007904,42896,750089926,3355045,37701,2721007,6074369,581204,15154,62078330,278719560,8442888,380409038,447862290
rand,td:38,4 6 -6 1 -7 -8 -9,0.002236517724667556,150000,8,16,8007904,42896,750089926,1713029,29506,1536671,3391009,327788,8287,70595872,180279998,5082018,287722118,338789807
rand,td:38,4 6 -6 1 -7 -8 -9,0.0011411968961769516,150000,9,17,8007904,42896,750089926,885973,24798,837018,1883815,191013,4579,76181650,120142780,2889462,231998922,271905406
rand,td:38,4 6 -6 1 -7 -8 -9,0.0005906625645574025,150000,10,18,8007904,42896,750089926,469388,22151,455313,1071584,114853,2565,73221436,72451792,1529630,175140768,235998141
rand,td:38,4 6 -6 1 -7 -8 -9,0.0003060059069393772,150000,11,19,8007904,42896,750089926,252638,20813,248496,638417,73787,1451,74356392,48937970,838826,150247486,222686903
rand,td:38,4 6 -6 1 -7 -8 -9,0.0001585791068955261,150000,12,20,8007904,42896,750089926,140977,20163,139710,410730,52855,883,77909418,37048152,506400,140716052,218100812
rand,td:38,4 6 -6 1 -7 -8 -9,8.311016845625134e-05,150000,13,21,8007904,42896,750089926,83085,19744,82668,291179,40045,518,84304152,31514318,318712,140900964,223896038
rand,td:38,4 6 -6 1 -7 -8 -9,4.4454276151018155e-05,150000,14,22,8007904,42896,750089926,53631,18760,53486,228252,31245,307,92226422,29898978,228948,148079864,231880638
rand,td:38,4 6 -6 1 -7 -8 -9,2.379242948927732e-05,150000,15,23,8007904,42896,750089926,37701,18600,37647,193524,25730,183,101848174,28905988,163872,156846186,243544649
rand,td:38,4 6 -6 1 -7 -8 -9,1.2935689819412911e-05,150000,16,24,8007904,42896,750089926,29506,18503,29477,174477,22488,105,111927480,28878540,123784,167778820,260652602
rand,td:38,4 6 -6 1 -7 -8 -9,7.168153881915242e-06,150000,17,25,8007904,42896,750089926,24798,18462,24787,163503,21098,71,120492338,29046950,97494,177615246,274823438
rand,td:38,4 6 -6 1 -7 -8 -9,4.062346013876722e-06,150000,18,26,8007904,42896,750089926,22151,14659,22146,157178,16611,51,139476664,30811424,107580,198851294,307809715
rand,td:38,4 6 -6 1 -7 -8 -9,2.3030623070797166e-06,150000,19,27,8007904,42896,750089926,20813,9736,20809,149691,10975,37,144994820,31154362,80946,205349570,311083013
rand,td:38,4 6 -6 1 -7 -8 -9,1.3271884481476334e-06,150000,20,28,8007904,42896,750089926,20163,8945,20159,138618,9939,29,152965354,29885924,77916,211725482,329287345
